campaign_id,click_rate
1889,0.024459971
1890,0.691042
1891,0.17183656
1892,0.17052771
1893,0.15328668
1894,0.024815174
1895,0.0039940663
1896,0.02909356
1897,-0.010149172
1898,0.020958992
1899,0.057445
1900,0.023379998
1901,-0.014266543
1902,0.002601752
1903,0.019756308
1904,0.011047366
1905,0.008784106
1906,0.00028875106
1907,-0.0027356935
1908,0.038623057
1909,0.017560106
1910,0.006857119
1911,0.0124010965
1912,0.02277785
1913,-0.0100532435
1914,-0.011796932
1915,0.06532779
1916,0.0056125596
1917,0.058675464
1918,0.0052482877
1919,0.0054969485
1920,0.021640927
1921,-0.004388854
1922,0.08763779
1923,0.0066945474
1924,-0.008632909
1925,-0.0024037198
1926,0.0012259119
1927,0.0017308943
1928,0.0181506
1929,0.009435901
1930,0.009093281
1931,0.007751546
1932,0.062982075
1933,0.050736465
1934,0.0032828164
1935,0.026751155
1936,0.035633203
1937,0.033560626
1938,0.016548155
1939,0.008998335
1940,0.0008996848
1941,0.010703437
1942,-0.00014014274
1943,0.010491308
1944,0.006005824
1945,0.007603439
1946,0.0016585755
1947,0.0037732008
1948,0.0012739995
1949,0.08721048
1950,0.011092142
1951,0.018728929
1952,0.0049105575
1953,0.0019211349
1954,0.006267611
1955,0.021410037
1956,0.070793375
1957,0.03142576
1958,0.084577575
1959,0.0067483215
1960,0.20889728
1961,0.008821122
1962,0.010823277
1963,0.13212503
1964,0.123898216
1965,0.0027563851
1966,0.05055637
1967,0.007073269
1968,0.09947723
1969,0.006488903
1970,-0.016324878
1971,0.070267774
1972,-0.00074376
1973,0.014622215
1974,0.20150462
1975,0.0067319167
1976,0.010382727
1977,0.06996564
1978,-0.0061355066
1979,0.024819247
1980,0.018260585
1981,0.035692528
1982,-0.0010149025
1983,0.0032486166
1984,0.011741345
1985,0.0058034235
1986,0.10366526
1987,0.0079039605
1988,0.009859508
1989,0.05945089
1990,0.058545228
1991,0.058545228
1992,0.0058883354
1993,-0.011326085
1994,0.0068611098
1995,-0.0010776367
1996,0.03200817
1997,0.01617018
1998,0.03567555
1999,0.10801763
2000,0.0114085125
2001,0.092120595
2002,0.028861048
2003,0.0078644715
2004,-0.00073610176
2005,0.2472415
2006,0.13733332
2007,0.0360251
2008,0.049290612
2009,0.009780822
2010,0.034669302
2011,0.08132467
2012,0.00012995856
2013,-0.0023859828
2014,-0.025075506
2015,0.022282837
2016,-0.0030782206
2017,-0.000100298275
2018,0.021890372
2019,0.041352574
2020,0.04154389
2021,0.0049471045
2022,-0.018683815
2023,0.012299644
2024,0.014680344
2025,0.018453788
2026,0.009145541
2027,0.0093466
2028,0.013341362
2029,0.005949103
2030,0.08660672
2031,0.007863296
2032,0.05351237
2033,0.17680982
2034,-0.0004926543
2035,-0.0003198173
2036,0.09986124
2037,0.03894448
2038,-0.009733654
2039,0.059838906
2040,0.18673007
2041,0.18415792
2042,0.022723278
2043,-0.00011733055
2044,0.02055736
2045,0.03042217
2046,0.017893625
2047,0.0017273522
2048,0.00931644
2049,0.008885018
2050,0.050408535
2051,-0.0003431802
2052,0.010470473
2053,0.0004302084
2054,0.01987851
2055,0.0037322943
2056,0.091757484
2057,0.008268259
2058,0.0021705183
2059,0.0071136644
2060,0.008764538
2061,0.086129144
2062,0.18785177
2063,0.013552011
2064,0.018907916
2065,0.0030468141
2066,-0.003954354
2067,0.030782828
2068,0.0071793464
2069,0.04185862
2070,0.05869184
2071,0.030636422
2072,0.0037938382
2073,0.010352249
2074,0.00019707532
2075,0.0070248437
2076,0.023903497
2077,0.15728998
2078,0.10932719
2079,0.0069103925
2080,0.05055454
2081,0.035166077
2082,0.082383715
2083,0.050782003
2084,0.05131246
2085,0.005457168
2086,0.0074528307
2087,0.061908558
2088,0.0054994854
2089,0.03298906
2090,0.016334232
2091,0.01865783
2092,0.018550893
2093,0.05871733
2094,0.043839823
2095,0.047580793
2096,0.03697903
2097,0.13384542
2098,0.011465781
2099,0.03427974
2100,0.025789412
2101,0.026337864
2102,0.1321505
2103,0.018587882
2104,0.04296773
2105,0.14508201
2106,0.008106877
2107,-0.0009493756
2108,0.012310241
2109,0.03240119
2110,0.07415944
2111,0.019999402
2112,0.023407234
2113,0.006325166
2114,0.0053429785
2115,0.041196782
2116,0.06249532
2117,0.0046767527
2118,0.008439164
2119,0.009406012
2120,0.007236698
2121,0.026275659
2122,0.004603526
2123,0.013848405
2124,0.0232131
2125,0.011292361
2126,0.067662634
2127,0.0137396315
2128,0.009165569
2129,0.0066423877
2130,0.047142543
2131,0.0049266317
2132,0.0014191067
2133,0.00033481367
2134,-0.0048405337
2135,-0.0039617047
2136,0.005764328
2137,0.0071890284
2138,0.010541961
2139,0.010725295
2140,0.010271539
2141,0.023952605
2142,0.08532412
2143,0.0066092014
2144,0.012450289
2145,0.012849134
2146,0.019738756
2147,0.010452905
2148,0.0021053806
2149,0.02313468
2150,0.016796209
2151,0.07159851
2152,0.004758069
2153,0.009379719
2154,0.00910755
2155,0.02695216
2156,0.00399965
2157,0.0016227274
2158,0.010825066
2159,0.011857066
2160,0.022231836
2161,0.014041205
2162,0.31038323
2163,0.014818116
2164,0.013911039
2165,0.038805906
2166,-0.023478378
2167,0.013694628
2168,0.011756944
2169,0.015018474
2170,0.029725762
2171,0.012465113
2172,0.12426573
2173,0.0040821224
2174,0.013064635
2175,0.008425572
2176,0.01820289
2177,0.007919845
2178,0.00893382
2179,0.051534247
2180,0.0652033
2181,0.017007563
2182,0.01185253
2183,0.1619919
2184,0.15067281
2185,0.011485234
2186,0.012678824
2187,0.00202765
2188,0.08131839
2189,-0.006702026
2190,0.08075901
2191,0.16311865
2192,0.013119849
2193,0.024807611
2194,0.017511101
2195,0.025960054
2196,0.16676477
2197,0.273135
2198,0.003754765
2199,0.0078295
2200,0.01729646
2201,-0.016511563
2202,0.050005157
2203,0.0040078443
2204,0.060967755
2205,0.07190835
2206,0.27214012
2207,0.004886101
2208,0.0116196005
2209,0.013428805
2210,0.0068964935
2211,0.051195316
2212,0.012621161
2213,0.017793946
2214,0.0038798377
2215,-0.0010700213
2216,0.021016471
2217,0.1287128
2218,0.015003154
2219,0.07005345
2220,0.009525401
2221,0.006311894
2222,0.00057879166
2223,0.105956376
2224,0.015224011
2225,0.008878388
2226,0.12836932
2227,0.104713485
2228,0.011345231
2229,0.010459573
2230,0.0041486365
2231,0.65881807
2232,0.04025685
2233,0.27700633
2234,0.010023656
2235,0.03785313
2236,0.0074928747
2237,0.009245788
2238,0.0053687585
2239,0.2963841
2240,0.0064772405
2241,0.011464522
2242,0.007883597
2243,0.011479797
2244,-0.00020998144
2245,0.012213939
2246,0.008631873
2247,0.01038974
2248,0.00987862
2249,0.008574086
2250,0.010839086
2251,0.009012139
2252,0.0021648833
2253,0.00354097
2254,0.009265429
2255,0.009265429
2256,0.033500656
2257,0.0071160793
2258,0.0109861065
2259,0.0027191702
2260,0.009714082
2261,0.016174944
2262,-0.001635033
2263,0.005700967
2264,0.025926009
2265,0.0068073594
2266,0.0160205
2267,0.0013648603
2268,0.06635265
2269,0.0043356274
2270,0.005418527
2271,0.01021462
2272,0.035839077
2273,0.0232356
2274,0.01052723
2275,0.017336147
2276,0.04909022
2277,0.17972825
2278,0.0149102155
2279,0.018283201
2280,0.031681962
2281,0.020241715
2282,0.0065420526
2283,0.044060566
2284,0.18266393
2285,0.020455081
2286,0.0028167025
2287,0.0306255
2288,0.011449969
2289,0.083683275
2290,0.014204837
2291,0.019077327
2292,0.017334292
2293,0.01426804
2294,0.022733152
2295,-0.00038730344
2296,-0.0062527508
2297,0.01466837
2298,0.012798476
2299,0.016448187
2300,0.013878597
2301,0.032306276
2302,0.0116608655
2303,0.019384425
2304,0.043052226
2305,0.0129441125
2306,0.007725859
2307,0.06673416
2308,0.03339209
2309,0.020083731
2310,0.0050278376
2311,0.0156224435
2312,0.115680344
2313,0.010434378
2314,-0.0037296298
2315,-0.017391292
2316,0.004088838
2317,0.044238385
2318,0.037175402
2319,0.0070548295
2320,0.1738426
2321,0.013898053
2322,0.0015420797
2323,0.01639463
2324,0.026188267
2325,0.020556562
2326,0.010638208
2327,0.01735993
2328,0.043801595
2329,0.012536475
2330,0.015989479
2331,0.0016303111
2332,0.055121433
2333,0.014518764
2334,0.007871406
2335,0.12702234
2336,0.017773766
2337,-0.011794491
2338,0.018411554
2339,0.009791419
2340,0.03274477
2341,0.011655307
2342,0.014962117
2343,0.030857673
2344,0.025033832
2345,0.031650424
2346,0.30516395
2347,0.0055587566
2348,0.021718811
2349,0.01559945
2350,0.012437665
2351,0.027307553
2352,0.044947192
2353,0.43253183
2354,0.0038294066
2355,0.0047817975
2356,0.02247775
2357,0.008318696
2358,0.08903152
2359,0.01419611
2360,0.013505098
2361,0.05733348
2362,0.007920749
2363,0.012996177
2364,0.014611558
2365,0.022338793
2366,0.03461032
2367,0.011338127
2368,-0.0023316005
2369,0.29384685
2370,0.008363058
2371,0.08056725
2372,0.018552234
2373,0.017693399
2374,0.020486446
2375,0.018558888
2376,0.02786365
2377,-0.00045246337
2378,0.007933847
2379,-0.0010018896
2380,0.012263619
2381,0.072770804
2382,0.036913432
2383,0.008615923
2384,0.023370791
2385,-0.0010221081
2386,0.026537431
2387,-0.0017467757
2388,0.011220197
2389,0.07955695
2390,0.024314536
2391,0.033532318
2392,0.015515911
2393,0.007800249
2394,0.006327463
2395,0.01222104
2396,0.015262546
2397,0.18932663
2398,0.22787456
2399,0.09388682
2400,0.013358346
2401,0.06101949
2402,0.023671046
2403,0.060012862
2404,0.026988383
2405,0.02356512
2406,0.025302546
2407,0.033248853
2408,0.016166596
2409,0.017603569
2410,0.017313227
2411,0.35283998
2412,0.17531994
2413,-0.017738791
2414,0.3727304
2415,0.010263809
2416,0.026099205
2417,0.024899945
2418,0.096308574
2419,0.016290134
2420,0.1442945
2421,0.04164291
2422,0.4342487
2423,0.0638903
2424,0.018621534
2425,0.012866486
2426,0.017418895
2427,0.016945295
2428,0.0061662383
2429,0.013394213
2430,0.019354932
2431,0.0068730838
2432,0.030918317
2433,0.017069103
2434,0.46086115
2435,0.024049602
2436,0.20037179
2437,0.22279312
2438,0.42502117
2439,0.034430664
2440,0.04770653
2441,0.014330477
2442,0.056288432
2443,0.107977144
2444,0.04815066
2445,0.01263561
2446,0.054087695
2447,0.048630394
2448,0.021207409
2449,0.108659096
2450,0.03970371
2451,0.05902977
2452,0.0052030296
2453,0.026006293
2454,0.023006974
2455,0.007427938
2456,0.03485316
2457,0.0043843137
2458,0.0398522
2459,0.018347466
2460,0.025424132
2461,0.0068518394
2462,0.09558933
2463,0.15095225
2464,0.021116845
2465,0.018440718
2466,0.008588978
2467,0.018860584
2468,0.008944363
2469,0.07227024
2470,0.001016422
2471,0.0974873
2472,0.0137889935
2473,0.032193147
2474,0.008477017
2475,0.004750084
2476,0.02312968
2477,0.0059296954
2478,-0.0053863707
2479,-0.009495741
2480,0.0126311695
2481,0.015222779
2482,0.011901844
2483,0.019958513
2484,0.031687234
2485,0.0032003059
2486,0.08863598
2487,0.0398522
2488,0.04150619
2489,-0.016975334
2490,0.039681394
2491,0.039539944
2492,-0.009824625
2493,0.07435851
2494,0.017751757
2495,0.010492034
2496,0.0027239618
2497,-0.012411869
2498,0.08737931
2499,0.019719122
2500,0.039203256
2501,0.02200565
2502,0.028023683
2503,0.1560697
2504,0.006189529
2505,0.019450294
2506,0.010099157
2507,0.007602882
2508,0.004455781
2509,0.050889004
2510,-0.0004606849
2511,0.038466025
2512,0.07606011
2513,0.028091053
2514,0.097744256
2515,0.0153739555
2516,0.01599676
2517,0.03956069
2518,0.055526037
2519,0.14058788
2520,0.11288479
2521,0.012801815
2522,0.014613659
2523,0.14182132
2524,0.024907146
2525,0.047720972
2526,0.022598375
2527,0.03636319
2528,0.043703407
2529,0.14178233
2530,0.10681459
2531,0.072445676
2532,0.029534703
2533,0.016384672
2534,0.014062893
2535,0.0288396
2536,0.022733076
2537,0.026991857
2538,0.0714905
2539,0.017698197
2540,0.0016897885
2541,0.026083745
2542,0.006088492
2543,0.0031055606
2544,0.0075011835
2545,0.012109214
