campaign_id,click_rate
1889,0.14118446
1890,0.21448942
1891,0.29430923
1892,0.2952367
1893,0.11409
1894,0.042148482
1895,0.0033380166
1896,0.033926222
1897,0.12345217
1898,0.083212726
1899,0.07902872
1900,0.007946741
1901,-0.0006056547
1902,0.011206394
1903,0.03036557
1904,0.031072332
1905,0.025589772
1906,-0.013506901
1907,-0.0034023444
1908,0.0722025
1909,0.060024012
1910,0.021358216
1911,0.009429382
1912,0.014344325
1913,0.023621146
1914,0.06857135
1915,0.092980936
1916,-0.0133661665
1917,0.1393279
1918,0.044662464
1919,0.049470432
1920,0.013327927
1921,-0.0003728647
1922,0.028803317
1923,0.12313475
1924,0.05064781
1925,-0.007817372
1926,0.0006834582
1927,-0.0030651903
1928,0.11458359
1929,0.011728847
1930,0.09812639
1931,0.002148828
1932,0.097258195
1933,0.040342126
1934,0.05748085
1935,0.03032825
1936,0.00924693
1937,0.09577468
1938,0.04731949
1939,0.05904215
1940,-0.01609208
1941,0.00401945
1942,0.0012317325
1943,0.021564556
1944,0.029965002
1945,0.120725915
1946,-0.004631788
1947,0.019147879
1948,0.036857948
1949,0.17440103
1950,0.03610357
1951,0.045862973
1952,-0.0062044924
1953,0.026474023
1954,-0.013101244
1955,0.0061572213
1956,0.06336941
1957,0.02250119
1958,0.014621411
1959,0.004107456
1960,0.27178544
1961,0.009092435
1962,0.059195675
1963,0.068662584
1964,0.07184826
1965,0.04750884
1966,0.03400777
1967,0.028200056
1968,0.060301166
1969,-0.033051975
1970,-0.017804703
1971,0.036876287
1972,0.040741894
1973,0.0073371204
1974,0.09266021
1975,0.059041288
1976,0.04247988
1977,0.042910334
1978,0.021526895
1979,0.07589495
1980,0.022572557
1981,0.058676224
1982,0.062096942
1983,-0.004590548
1984,0.096762374
1985,0.062339798
1986,0.13250725
1987,0.024321135
1988,0.015549639
1989,0.11239079
1990,0.11239079
1991,0.11239079
1992,0.012260756
1993,0.102488995
1994,0.023285758
1995,0.10574274
1996,0.012266088
1997,0.024033332
1998,0.0130307535
1999,0.06461437
2000,0.03666172
2001,0.10169019
2002,0.08912974
2003,-0.006493351
2004,0.009367369
2005,0.14240824
2006,0.07697846
2007,0.018045127
2008,0.077543974
2009,0.012317889
2010,0.045514308
2011,0.039125767
2012,0.012457417
2013,0.033481628
2014,0.0976048
2015,-0.00517755
2016,0.0851866
2017,0.023463147
2018,0.010095882
2019,0.06515772
2020,0.05688097
2021,0.0019066321
2022,0.09196115
2023,0.042126697
2024,0.04912105
2025,0.048468642
2026,0.079617836
2027,0.039000284
2028,0.054365575
2029,-0.00946523
2030,0.0678474
2031,0.0006556889
2032,-0.0041593597
2033,0.1527252
2034,-0.025830409
2035,0.073008634
2036,0.0532058
2037,0.01816807
2038,0.007934503
2039,0.017102815
2040,0.055737298
2041,0.16226014
2042,0.00024239041
2043,0.04619633
2044,0.02074481
2045,-0.013105871
2046,0.00809556
2047,-0.0062170136
2048,0.01907503
2049,0.01007596
2050,0.21988277
2051,0.011708222
2052,0.02140306
2053,-0.0040729335
2054,0.05032574
2055,0.017572302
2056,0.17652889
2057,0.01789978
2058,0.014413248
2059,0.04264664
2060,0.034343958
2061,0.0479929
2062,0.1460763
2063,0.06277452
2064,0.09099967
2065,0.059675287
2066,-0.0015496135
2067,0.11393993
2068,0.036793318
2069,0.028895685
2070,0.26041493
2071,0.002379632
2072,0.009650715
2073,0.0028175386
2074,0.029616337
2075,0.0074089677
2076,0.057883453
2077,0.2217923
2078,0.098701805
2079,0.036926124
2080,0.044132985
2081,0.022588627
2082,0.09874587
2083,0.06332017
2084,0.13497359
2085,0.0020566224
2086,0.0014981715
2087,0.072758615
2088,0.07122374
2089,0.07988062
2090,0.03235122
2091,0.054808535
2092,0.014684281
2093,0.123265095
2094,0.085366644
2095,0.051706254
2096,0.040768772
2097,0.15056802
2098,0.02378315
2099,0.13487414
2100,0.026692897
2101,0.084602274
2102,0.08278031
2103,0.05534242
2104,0.22504424
2105,0.20383514
2106,0.054948203
2107,0.05990967
2108,0.016149534
